campus
Ciudad Universitaria
Centro Regional Universitario de Azuero
Centro Regional Universitario de Bocas del Toro
Centro Regional Universitario de Coclé
Centro Regional Universitario de Colón
Centro Regional Universitario de Darién
Centro Regional Universitario de Los Santos
Centro Regional Universitario de Panamá Este
Centro Regional Universitario de Panamá Oeste
Centro Regional Universitario de San Miguelito
Centro Regional Universitario de Veraguas
Extionsión de Aguadulce
Extionsión de Ocú
Extionsión de Sona
Extionsión de Tortí
