quantity,year,campus_id,career_id
2,2021,1,76
0,2020,1,76
5,2019,1,76
38,2022,1,77
37,2021,1,77
8,2020,1,77
17,2019,1,77
55,2022,1,78
17,2021,1,78
0,2020,1,78
8,2019,1,78
10,2022,1,79
5,2021,1,79
1,2020,1,79
13,2019,1,79
57,2022,1,80
51,2021,1,80
15,2020,1,80
48,2019,1,80
37,2022,1,81
53,2021,1,81
14,2020,1,81
31,2019,1,81
15,2022,1,82
6,2021,1,82
0,2020,1,82
10,2019,1,82
70,2022,1,83
53,2021,1,83
12,2020,1,83
46,2019,1,83
14,2022,1,84
13,2021,1,84
4,2020,1,84
11,2019,1,84
532,2022,1,85
544,2021,1,85
169,2020,1,85
412,2019,1,85
1,2022,1,86
2,2021,1,86
0,2020,1,86
2,2019,1,86
14,2022,1,91
3,2021,1,91
4,2020,1,91
5,2019,1,91
0,2022,1,88
0,2021,1,88
0,2020,1,88
3,2019,1,88
1,2022,1,89
0,2021,1,89
0,2020,1,89
0,2019,1,89
1,2022,1,90
1,2021,1,90
0,2020,1,90
0,2019,1,90
16,2022,1,87
0,2021,1,87
0,2020,1,87
0,2019,1,87
30,2022,1,92
31,2021,1,92
7,2020,1,92
32,2019,1,92
2,2022,1,93
0,2021,1,93
1,2020,1,93
6,2019,1,93
364,2022,1,94
175,2021,1,94
58,2020,1,94
252,2019,1,94
9,2022,1,95
3,2021,1,95
4,2020,1,95
6,2019,1,95
1,2022,1,96
1,2021,1,96
1,2020,1,96
1,2019,1,96
2,2022,1,97
0,2021,1,97
1,2020,1,97
1,2019,1,97
118,2022,1,98
84,2021,1,98
210,2020,1,98
168,2019,1,98
25,2022,1,99
21,2021,1,99
0,2020,1,99
8,2019,1,99
97,2022,1,100
70,2021,1,100
50,2020,1,100
55,2019,1,100
107,2022,1,101
43,2021,1,101
0,2020,1,101
0,2019,1,101
1,2022,1,102
4,2021,1,102
1,2020,1,102
3,2019,1,102
0,2022,1,103
1,2021,1,103
0,2020,1,103
1,2019,1,103
0,2022,1,104
4,2021,1,104
3,2020,1,104
6,2019,1,104
69,2022,1,105
85,2021,1,105
1,2020,1,105
20,2019,1,105
62,2022,1,106
47,2021,1,106
8,2020,1,106
39,2019,1,106
6,2022,1,107
1,2021,1,107
1,2020,1,107
3,2019,1,107
3,2022,1,108
1,2021,1,108
0,2020,1,108
0,2019,1,108
3,2022,1,109
2,2021,1,109
0,2020,1,109
0,2019,1,109
110,2022,1,110
76,2021,1,110
18,2020,1,110
24,2019,1,110
17,2022,1,111
4,2021,1,111
0,2020,1,111
10,2019,1,111
18,2022,1,112
3,2021,1,112
3,2020,1,112
1,2019,1,112
8,2022,1,113
9,2021,1,113
1,2020,1,113
0,2019,1,113
3,2022,1,114
0,2021,1,114
0,2020,1,114
8,2019,1,114
0,2022,1,115
0,2021,1,115
1,2020,1,115
4,2019,1,115
16,2022,1,116
4,2021,1,116
2,2020,1,116
7,2019,1,116
181,2022,1,117
111,2021,1,117
49,2020,1,117
123,2019,1,117
39,2022,1,118
8,2021,1,118
12,2020,1,118
16,2019,1,118
35,2022,1,119
34,2021,1,119
2,2020,1,119
34,2019,1,119
4,2022,1,120
0,2021,1,120
0,2020,1,120
0,2019,1,120
178,2022,1,121
115,2021,1,121
0,2020,1,121
0,2019,1,121
5,2022,1,122
10,2021,1,122
2,2020,1,122
0,2019,1,122
0,2022,1,123
1,2021,1,123
0,2020,1,123
9,2019,1,123
6,2022,1,124
4,2021,1,124
11,2020,1,124
65,2019,1,124
1,2022,1,125
3,2021,1,125
0,2020,1,125
9,2019,1,125
9,2022,1,126
110,2021,1,126
1,2020,1,126
30,2019,1,126
62,2022,1,127
58,2021,1,127
5,2020,1,127
33,2019,1,127
1,2022,1,128
25,2021,1,128
1,2020,1,128
2,2019,1,128
13,2022,1,129
46,2021,1,129
5,2020,1,129
15,2019,1,129
2,2022,1,130
13,2021,1,130
1,2020,1,130
5,2019,1,130
58,2022,1,131
35,2021,1,131
4,2020,1,131
17,2019,1,131
0,2022,1,132
0,2021,1,132
0,2020,1,132
0,2019,1,132
128,2022,1,133
119,2021,1,133
21,2020,1,133
80,2019,1,133
14,2022,1,134
8,2021,1,134
9,2020,1,134
10,2019,1,134
12,2022,1,135
11,2021,1,135
1,2020,1,135
9,2019,1,135
10,2022,1,136
19,2021,1,136
2,2020,1,136
4,2019,1,136
13,2022,1,137
12,2021,1,137
2,2020,1,137
9,2019,1,137
19,2022,1,138
15,2021,1,138
14,2020,1,138
22,2019,1,138
2,2022,1,139
0,2021,1,139
0,2020,1,139
0,2019,1,139
2,2022,1,140
2,2021,1,140
0,2020,1,140
5,2019,1,140
1,2022,1,141
1,2021,1,141
2,2020,1,141
1,2019,1,141
5,2022,1,142
3,2021,1,142
0,2020,1,142
5,2019,1,142
0,2022,1,143
0,2021,1,143
0,2020,1,143
0,2019,1,143
0,2022,1,144
0,2021,1,144
0,2020,1,144
0,2019,1,144
127,2022,1,145
188,2021,1,145
123,2020,1,145
152,2019,1,145
27,2022,1,146
43,2021,1,146
0,2020,1,146
24,2019,1,146
0,2022,1,147
36,2021,1,147
3,2020,1,147
15,2019,1,147
34,2022,1,148
2,2021,1,148
0,2020,1,148
20,2019,1,148
0,2022,1,149
0,2021,1,149
44,2020,1,149
0,2019,1,149
0,2022,1,150
0,2021,1,150
0,2020,1,150
3,2019,1,150
2,2022,1,151
14,2021,1,151
0,2020,1,151
4,2019,1,151
36,2022,1,152
19,2021,1,152
48,2020,1,152
15,2019,1,152
21,2022,1,153
32,2021,1,153
4,2020,1,153
43,2019,1,153
77,2022,1,154
52,2021,1,154
26,2020,1,154
52,2019,1,154
174,2022,1,155
124,2021,1,155
17,2020,1,155
80,2019,1,155
